"PolicyNumber","FraudFound","Make","AccidentArea","Sex","MaritalStatus","AgeOfPolicyHolder","Fault","VehicleCategory","VehiclePrice","PoliceReportFiled","WitnessPresent","AddressChange.Claim","NumberOfCars"
13655,1,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
13657,0,"Chevrolet","Urban","Male","Married","36 to 40","Third Party","Utility","more than 69,000","No","No","no change","1 vehicle"
13662,0,"Toyota","Urban","Male","Single","26 to 30","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13667,0,"Toyota","Urban","Male","Single","26 to 30","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
13672,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
13677,0,"Pontiac","Urban","Female","Single","36 to 40","Third Party","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
13682,0,"Chevrolet","Urban","Male","Married","51 to 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
13687,0,"Mazda","Rural","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
13689,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13692,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
13697,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13702,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13707,0,"Accura","Urban","Male","Married","51 to 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
13712,0,"Toyota","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13714,1,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
13717,0,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
13722,0,"Honda","Urban","Female","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
13727,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13732,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13737,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13742,0,"Chevrolet","Rural","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","1 year","1 vehicle"
13747,0,"Toyota","Rural","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13752,0,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
13757,0,"Honda","Urban","Female","Divorced","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13762,0,"Pontiac","Rural","Male","Married","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13766,1,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13767,0,"Chevrolet","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13772,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13777,0,"Chevrolet","Rural","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","4 to 8 years","3 to 4"
13782,0,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
13787,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13792,0,"Saab","Urban","Male","Married","26 to 30","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
13797,1,"Toyota","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13799,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Utility","40,000 to 59,000","No","No","no change","1 vehicle"
13802,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13803,1,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
13807,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13812,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13817,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13819,1,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
13822,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
13827,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13832,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
13837,0,"Honda","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13842,0,"VW","Urban","Male","Married","51 to 65","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
13847,0,"Chevrolet","Urban","Female","Divorced","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13851,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13852,0,"Saab","Urban","Female","Single","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13856,1,"Honda","Urban","Male","Single","21 to 25","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
13857,0,"Toyota","Rural","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13862,0,"Honda","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13867,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13872,0,"Honda","Urban","Male","Married","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
13877,0,"Honda","Rural","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","Yes","No","no change","1 vehicle"
13882,1,"Accura","Urban","Male","Married","31 to 35","Policy Holder","Utility","more than 69,000","No","No","4 to 8 years","2 vehicles"
13887,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13892,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
13897,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13900,1,"Toyota","Urban","Female","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","3 to 4"
13902,0,"Honda","Rural","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13907,0,"Saturn","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13910,1,"Ford","Urban","Male","Married","41 to 50","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
13912,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
13916,1,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
13917,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13922,0,"Mercury","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13927,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13932,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sport","more than 69,000","Yes","No","no change","1 vehicle"
13937,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13942,0,"Toyota","Urban","Male","Single","over 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13943,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13947,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13952,0,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13957,0,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
13961,1,"Saab","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13962,0,"Honda","Rural","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13967,0,"Honda","Rural","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13972,0,"Ford","Urban","Female","Single","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
13975,1,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
13977,0,"Toyota","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13982,0,"Mazda","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
13987,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
13992,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
13997,0,"Accura","Urban","Male","Married","51 to 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
14002,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14007,0,"Toyota","Rural","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14011,1,"Accura","Urban","Male","Married","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
14012,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14016,1,"Pontiac","Rural","Female","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14017,0,"Ford","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14021,1,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14022,0,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14027,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14032,0,"Honda","Urban","Male","Single","26 to 30","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
14037,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14042,0,"Pontiac","Urban","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14047,0,"Chevrolet","Urban","Male","Married","over 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14052,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14057,1,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14058,1,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14062,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
14067,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sport","less than 20,000","No","No","no change","1 vehicle"
14072,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14077,0,"Chevrolet","Rural","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
14082,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
14084,1,"Accura","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14087,0,"Chevrolet","Rural","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14092,0,"Toyota","Rural","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","4 to 8 years","2 vehicles"
14093,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
14096,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
14097,0,"Honda","Urban","Male","Married","over 65","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
14102,0,"Honda","Urban","Female","Married","51 to 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14107,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14110,1,"Honda","Urban","Male","Single","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14112,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14116,1,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14117,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14122,0,"Pontiac","Urban","Male","Married","over 65","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14127,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14128,1,"Honda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
14132,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14134,1,"Mazda","Urban","Female","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
14137,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14142,1,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14147,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
14152,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14157,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14162,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14167,0,"Chevrolet","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14172,0,"Toyota","Urban","Male","Married","over 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14177,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14182,0,"Mazda","Urban","Male","Married","over 65","Policy Holder","Sport","less than 20,000","No","No","no change","1 vehicle"
14183,1,"Mazda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14187,0,"Honda","Rural","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","3 to 4"
14192,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14197,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","1 year","2 vehicles"
14202,0,"Mazda","Urban","Male","Married","over 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14207,0,"Honda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14212,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14217,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14222,0,"Toyota","Rural","Female","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
14224,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
14227,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14232,0,"Honda","Urban","Male","Married","41 to 50","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14237,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14242,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14247,0,"Mazda","Urban","Female","Married","51 to 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14249,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
14252,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14257,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14262,0,"Toyota","Rural","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14267,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14272,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14277,0,"Toyota","Urban","Female","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14282,0,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14287,0,"Pontiac","Urban","Female","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14289,1,"Chevrolet","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14292,0,"Toyota","Rural","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14297,0,"Chevrolet","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14302,0,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
14307,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14312,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14317,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14322,0,"Toyota","Urban","Male","Single","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14327,0,"Chevrolet","Urban","Female","Married","51 to 65","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
14332,0,"Toyota","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
14336,1,"Accura","Urban","Male","Single","36 to 40","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
14337,0,"Honda","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14342,1,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14347,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14352,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14357,0,"Nisson","Rural","Male","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
14362,0,"Pontiac","Rural","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14367,1,"Toyota","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14372,0,"Toyota","Urban","Male","Single","over 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14377,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14382,1,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14387,0,"Pontiac","Urban","Female","Married","36 to 40","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14388,1,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14391,1,"Mazda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14392,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","3 to 4"
14393,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14397,0,"Honda","Urban","Female","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14402,0,"Chevrolet","Urban","Female","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14406,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14407,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","Yes","No","4 to 8 years","2 vehicles"
14412,0,"Honda","Urban","Male","Single","31 to 35","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
14416,1,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14417,0,"Pontiac","Rural","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14422,0,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
14427,0,"Honda","Urban","Female","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14432,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
14435,1,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14437,0,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14442,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","Yes","No","no change","1 vehicle"
14447,0,"Pontiac","Urban","Male","Single","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14452,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14457,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14458,1,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14462,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14467,0,"Pontiac","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14472,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
14477,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14482,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
14485,1,"Honda","Urban","Female","Single","26 to 30","Policy Holder","Sport","more than 69,000","No","No","2 to 3 years","1 vehicle"
14487,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14492,0,"VW","Urban","Male","Married","over 65","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
14497,0,"Chevrolet","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14502,0,"Chevrolet","Rural","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
14507,0,"Honda","Urban","Male","Married","41 to 50","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
14512,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14514,1,"Pontiac","Urban","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14516,1,"Toyota","Rural","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14517,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14522,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
14524,1,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14527,0,"Mazda","Urban","Female","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
14532,0,"Pontiac","Rural","Male","Married","over 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
14537,0,"Ford","Urban","Male","Single","36 to 40","Policy Holder","Sport","40,000 to 59,000","Yes","No","no change","1 vehicle"
14539,1,"Dodge","Urban","Male","Single","21 to 25","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
